Bioactivity_ID,Aid_Type,Activity,Protein_Accession,Activity_Type,Activity_Qualifier,Bioassay_Data_Source,BioAssay_Name,Compound_Name,Target_Name,Target_Link,ECs,Representative_Protein_Accession,Cell_ID,Anatomy,dois,pmcids,pclids,citations,BioAssay_AID,Substance_SID,Compound_CID,refsid,Gene_ID,PMID,Last_Modified_Date,Has_Dose_Response_Curve,RNAi_BioAssay,Activity_Value,Taxonomy_ID,Target_Taxonomy_ID,Anatomy_ID
369416690,Confirmatory,Unspecified,ANW61984,Potency,,Tox21,Cytochrome P450 Family 2 Subfamily D Member 6 (CYP2D6) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP2D6 - cytochrome P450 family 2 subfamily D member 6 (gene/pseudogene) (human),/gene/1565,,ANW61984,,,,,,,1671196,144212021,4,,1565,,20210929,1,0,,9606,,
345789963,Confirmatory,Unspecified,,Potency,,Tox21,A CellTox Green Cytotoxicity Assay to monitor cytotoxicity in HEK293 cells - 32 hour,1-Amino-2-propanol,,,,,45,,,,,,1224881,144212021,4,,,,20160908,1,0,,,,
369362153,Confirmatory,Unspecified,,Potency,,Tox21,Cytochrome P450 Family 2 Subfamily C Member 9 (CYP2C9) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP2C9 - cytochrome P450 family 2 subfamily C member 9 (human),/gene/1559,,,,,,,,,1671198,144212021,4,,1559,,20210929,1,0,,9606,,
369422450,Confirmatory,Unspecified,,Potency,,Tox21,Cytochrome P450 Family 2 Subfamily C Member 19 (CYP2C19) small molecule antagonists: luciferase reporter qHTS assay,1-Amino-2-propanol,CYP2C19 - cytochrome P450 family 2 subfamily C member 19 (human),/gene/1557,,,,,,,,,1671197,144212021,4,,1557,,20210929,1,0,,9606,,
99385155,Literature-derived,Probe,,,,ChEMBL,Partition coefficient (logP),1-Amino-2-propanol,,,,,,,10.1021/jm00381a013,,26569979,"Ghose AK, Crippen GM. Use of physicochemical parameters in distance geometry and related three-dimensional quantitative structure-activity relationships: a demonstration using Escherichia coli dihydrofolate reductase inhibitors. J Med Chem. 1985 Mar;28(3):333–46. doi: 10.1021/jm00381a013. PMID: 3882967.",23443,103342061,4,,,3882967,20200628,0,0,,,,
345802794,Confirmatory,Unspecified,,Potency,,Tox21,qHTS RealTime-Glo MT Cell Viability Assay in HEK293 cells - 0 hour,1-Amino-2-propanol,,,,,45,,,,,,1224880,144212021,4,,,,20160908,1,0,,,,
369435314,Confirmatory,Unspecified,,Potency,,Tox21,Human Ether-a-go-go-Related Gene (hERG) channel small molecule antagonists: fluorescence cell-based qHTS assay,1-Amino-2-propanol,KCNH2 - potassium voltage-gated channel subfamily H member 2 (human),/gene/3757,,,0,,,,,,1671200,144212021,4,,3757,,20210929,1,0,,9606,,
346003668,Summary,Unspecified,AAG43026,Potency,,Tox21,qHTS assay to identify small molecule agonists of the hypoxia (HIF-1) signaling pathway: Summary,1-Amino-2-propanol,HIF1A - hypoxia inducible factor 1 subunit alpha (human),/gene/3091,,Q16665,,,,,,,1224894,144212021,4,,3091,,20160913,0,0,,9606,,
345968364,Summary,Unspecified,AAY56401,Potency,,Tox21,qHTS assay to identify small molecule antagonists of the constitutive androstane receptor (CAR) signaling pathway: Summary,1-Amino-2-propanol,"nuclear receptor subfamily 1, group I, member 3 (human)",/protein/AAY56401,,Q14994,27,,,,,,1224893,144212021,4,,,,20160913,0,0,,9606,,
345949119,Summary,Unspecified,EGV99105,Potency,,Tox21,qHTS assay to identify small molecule agonists of H2AX: Summary,1-Amino-2-propanol,LOC100757539 - histone H2AX (Chinese hamster),/gene/100757539,,EGV99105,198,,,,,,1224896,144212021,4,,100757539,,20160914,0,0,,10029,,
